date,topic_id,topic_label,title,source,published_at,cocom,reassigned_from,url
2026-09-22,flagship-ru-ua,Russia / Ukraine,"This NATO-backed drone AI picked its own target and struck it, but relied on a human-drawn map to do so",TechRadar,2026-09-21T21:05:00Z,,,https://www.techradar.com/pro/this-nato-backed-drone-ai-picked-its-own-target-and-struck-it-but-relied-on-a-human-drawn-map-to-do-so
2026-09-22,flagship-ru-ua,Russia / Ukraine,Party Behind Putin Claims 58% Support in Election,Newser,2026-09-21T21:02:00Z,,,https://www.newser.com/story/396798/party-behind-putin-claims-58-support-in-election.html
2026-09-22,flagship-ru-ua,Russia / Ukraine,The United Nations looks broken. Is it?,Vox,2026-09-21T21:01:10Z,,,https://www.vox.com/today-explained-newsletter/503490/united-nations-general-assembly-2026
2026-09-22,flagship-ru-ua,Russia / Ukraine,"MrBeast hits back at criticism over $10 million Ghana village project to combat child labour, says he ‘literally’ supports hometown Greenville after being questioned over overseas spending",The Times of India,2026-09-21T20:58:32Z,,,https://timesofindia.indiatimes.com/world/rest-of-world/mrbeast-hits-back-at-criticism-over-10-million-ghana-village-project-to-combat-child-labour-says-he-literally-supports-hometown-greenville-after-being-questioned-over-overseas-spending/articleshow/134397551.cms
2026-09-22,flagship-ru-ua,Russia / Ukraine,Trump to address UN General Assembly as Iran war looms large,Abcnews.com,2026-09-21T20:52:05Z,,,https://abcnews.com/Politics/trump-address-general-assembly-iran-war-looms-large/story?id=136621201
2026-09-22,flagship-ru-ua,Russia / Ukraine,Oregon student remains stuck in South Korea over mental health episode that caused damage worth $170; he is out of prison but country bans his exit,The Times of India,2026-09-21T20:44:06Z,,,https://timesofindia.indiatimes.com/world/us/oregon-student-remains-stuck-in-south-korea-over-mental-health-episode-that-caused-damage-worth-170-he-is-out-of-prison-but-country-bans-his-exit/articleshow/134397544.cms
2026-09-22,flagship-ru-ua,Russia / Ukraine,"I didn't go to war so...: Hindu American Army veteran Ruchir Bakshi pushes back hatred, slams call to 'tear down' Texas Hanuman statue",The Times of India,2026-09-21T20:27:55Z,,,https://timesofindia.indiatimes.com/world/us/i-didnt-go-to-war-so-hindu-american-army-veteran-ruchir-bakshi-pushes-back-hatred-slams-call-to-tear-down-texas-hanuman-statue/articleshow/134397507.cms
2026-09-22,flagship-ru-ua,Russia / Ukraine,"‘Parties which oppose Owaisi, AIMIM don’t want any semblance of political agency for Muslims’",The Times of India,2026-09-21T20:14:31Z,,,https://timesofindia.indiatimes.com/city/lucknow/parties-which-oppose-owaisi-aimim-dont-want-any-semblance-of-political-agency-for-muslims/articleshow/134397497.cms
2026-09-22,flagship-ru-ua,Russia / Ukraine,"Human brain may have evolved from two ancient nervous systems, Stanford study finds; forebrain and hindbrain develop from separate cells in 550-million-year-old pattern",The Times of India,2026-09-21T20:09:16Z,,,https://timesofindia.indiatimes.com/science/human-brain-may-have-evolved-from-two-ancient-nervous-systems-stanford-study-finds-forebrain-and-hindbrain-develop-from-separate-cells-in-550-million-year-old-pattern/articleshow/134397474.cms
2026-09-22,flagship-ru-ua,Russia / Ukraine,Where Is OPEC+? Riyadh and Moscow’s Silence Is Becoming Deafening,OilPrice.com,2026-09-21T20:00:00Z,,,https://oilprice.com/Energy/Crude-Oil/Where-Is-OPEC-Riyadh-and-Moscows-Silence-Is-Becoming-Deafening.html
2026-09-22,flagship-ru-ua,Russia / Ukraine,What Russia’s Parliamentary Election Results Mean for Putin and the War,Time,2026-09-21T19:50:43Z,,,https://time.com/article/2026/09/21/what-russia-s-parliamentary-election-results-mean-for-putin-and-the-war/
2026-09-22,flagship-ru-ua,Russia / Ukraine,The ‘stab in the back’ that wasn’t: Why Stalin sent the Red Army into Poland,RT,2026-09-21T19:23:02Z,,,https://www.rt.com/russia/645988-stab-in-back-that-wasnt/
2026-09-22,flagship-ru-ua,Russia / Ukraine,Ukraine Signs Deal to Help Syria Clear Landmines and Other Post-War Perils,Breitbart News,2026-09-21T19:16:07Z,,,https://www.breitbart.com/middle-east/2026/09/21/ukraine-signs-deal-to-help-syria-clear-landmines-and-other-post-war-perils/
2026-09-22,flagship-ru-ua,Russia / Ukraine,Hungary seeks US sanctions exemption over Russian energy,RT,2026-09-21T19:04:52Z,,,https://www.rt.com/news/646048-hungary-russian-energy-us-sanctions/
